word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Opfer,3.0,2.469165,6.428571,2.298066,4.968254,2.614897,5,2,0,50,50,61,121.06918012499997,,2.0,1.5624744589999864,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Schnur,4.90625,0.683566,2.145161,1.667891,1.790323,1.202962,6,1,0,51,51,74,122.64805233399997,,5.0,1.759683124999981,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,52,52,20,124.42581983400001,,4.0,1.559014583000021,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Infarkt,3.109375,2.539324,6.885246,2.129932,4.571429,2.849529,7,2,0,53,53,48,126.001805459,,2.0,1.9448004170000104,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Anzahl,5.126984,0.729385,2.33871,1.983072,6.770492,2.30502,6,2,0,54,54,5,127.96357774999998,,3.0,6.433234374999984,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Paar,6.492064,2.256696,5.095238,2.374015,4.174603,2.768135,4,1,0,55,55,63,134.414186375,,3.0,1.6530800830000203,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Handlung,5.112903,0.9427,3.0,1.909231,6.612903,2.397778,8,2,0,56,56,40,136.08633483399998,,2.0,1.9722152919999871,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Geilheit,4.890625,2.19029,7.03125,1.708696,7.774194,1.731287,8,2,0,57,57,32,138.07475454199997,,3.0,3.6444318329999987,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Hengst,5.453125,1.413424,4.285714,2.445724,2.209677,1.784607,6,1,0,58,58,45,141.75348566699998,,4.0,1.4301224579999712,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Abfahrt,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2,0,59,59,0,143.18656924999996,,4.0,1.4194810000000189,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Triumph,6.419355,2.243741,6.301587,2.550363,7.387097,1.986469,7,2,0,60,60,86,144.622341917,,2.0,1.8091495830000213,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Gift,3.390625,2.32732,6.52381,2.284994,4.190476,2.717074,4,1,0,61,61,37,146.448709584,,4.0,2.048757292000005,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Vortrag,5.28125,1.147375,2.725807,2.073797,4.888889,2.609605,7,2,0,62,62,90,148.51534391699997,,4.0,1.5427038329999618,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Zelt,5.734375,1.555759,3.269841,2.208534,1.460318,0.839074,4,1,0,63,63,96,150.07558641699998,,5.0,1.3963170419999642,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Geier,4.25,1.885618,3.83871,2.334303,1.666667,1.295152,5,2,0,64,64,31,151.48926924999998,,5.0,1.1339470830000096,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Parfüm,6.380952,2.202847,4.952381,2.310066,2.774194,2.228131,6,2,0,65,65,65,152.641791084,,5.0,0.9400588340000127,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
