word,word_english,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Einfahrt,entrance,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,57,57,20,218.80601899999965,,5.0,4.058494200002315,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Gedicht,poem,6.333333,2.032002,4.634921,2.522809,3.777778,2.523723,7,2,0,58,58,29,222.89643729999807,,3.0,3.8427036000030057,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Wohl,well,6.193548,1.982205,4.765625,2.355286,7.564516,2.093088,4,1,0,59,59,92,226.78767169999992,,2.0,2.0430412999994587,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Anzahl,number,5.126984,0.729385,2.33871,1.983072,6.770492,2.30502,6,2,0,60,60,5,228.86215570000059,,1.0,3.040072300002066,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Gemahl,consort,5.75,1.708987,3.984127,2.331358,4.349206,2.640618,6,2,0,61,61,34,231.9348394999979,,2.0,2.9787049000005936,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Hast,have,3.84375,2.001735,5.539683,2.551568,7.412698,1.914587,4,1,0,62,62,43,234.94996159999937,,1.0,2.8620928000018466,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Tugend,virtue,6.225807,2.1533,4.603175,2.366021,7.548387,2.013702,6,2,0,63,63,87,237.8463671999998,,1.0,1.7831933999987086,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Bündel,bunch,5.03125,0.835117,2.741936,2.087712,3.174603,2.317811,6,2,0,64,64,15,239.65927630000078,,4.0,2.1382038999981887,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Getier,beast,4.380952,1.790914,4.546875,2.672195,4.015873,2.808352,6,2,0,65,65,35,241.8272954999993,,5.0,3.9156261999996786,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Härte,harlotry,4.59375,1.874802,4.15625,2.324601,6.483871,2.494203,5,2,0,66,66,42,245.77613980000024,,2.0,3.137119499999244,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Anreiz,incentive,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,6,2,0,67,67,4,248.94546509999782,,1.0,3.7086421999993036,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Zimmer,room,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,68,68,97,252.6845088000009,,5.0,2.0120806000013545,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Freibad,outdoor pool,6.079365,2.034395,3.703125,2.14313,2.333333,2.047816,7,1,0,69,69,26,254.73335210000005,,5.0,1.3639057999971556,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Triumph,triumph,6.419355,2.243741,6.301587,2.550363,7.387097,1.986469,7,2,0,70,70,86,256.1297166000004,,1.0,2.476799600000959,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Becken,basin,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2,0,71,71,9,258.64336249999906,,5.0,2.2026519999999437,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Bankrott,bankrupt,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,8,2,0,72,72,8,260.87714309999865,,2.0,2.8867108000013104,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Handlung,action,5.112903,0.9427,3.0,1.909231,6.612903,2.397778,8,2,0,73,73,40,263.7973458999986,,2.0,4.985770800001774,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Urne,urn,3.5625,2.114763,4.809524,2.558081,2.0,1.45912,4,2,0,74,74,89,268.822830000001,,5.0,1.8201621000007435,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Lampe,lamp,5.365079,0.97222,2.274194,1.917729,1.285714,0.633184,5,2,0,75,75,55,270.6755512999989,,5.0,1.0900048000003153,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Hölle,hell,3.0,2.71003,6.555556,2.421528,6.774194,2.601509,5,2,0,76,76,46,271.7969271000002,,1.0,2.7433918999995512,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Dach,roof,5.171875,1.120582,2.42623,1.765021,1.580645,1.0643,4,1,0,77,77,17,274.57320790000085,,5.0,2.1453309999997145,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Album,album,5.328125,1.2731,2.714286,1.852884,2.741936,2.126611,5,2,0,78,78,2,276.75017819999994,,5.0,1.734351399998559,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Gift,poison,3.390625,2.32732,6.52381,2.284994,4.190476,2.717074,4,1,0,79,79,37,278.5159190999984,,4.0,4.844324699999561,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Beruf,occupation,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,5,2,0,80,80,10,283.3927507999979,,3.0,3.2252680999990844,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
